Raw Name,Clean Name,alt name,Flip Vertical,Rotation Applied,Z reverse,Flipped in Preprocessing,Notes,Egocentric Leaning,Skip Affine,Refinement Inclusion,Correction Angle,MB Tilt Angle,Δ from 90,Mirrored?,Mirror Value,Experiment,Condition,AMIRA volume,neuropil segmenter / notes,L MB,R MB,L AL,R AL,L OL,R OL,CBupper,CBlower,PB,L NO,R NO,CB,CX,body length,head area
231210.Brain3.20x.647,,,,,,,,,,,,,,,,brainvbody,,7228617,,,,,,,,,,,,,,,1.646,0.20907
231210.Brain4.20x.647,,,,,,,,,,,,,,,,brainvbody,,6300236,,,,,,,,,,,,,,,1.637,0.201544
231210.Brain8.20x.647,,,,,,,,,,,,,,,,brainvbody,,4127776,,,,,,,,,,,,,,,1.624,0.202776
231210.Brain10.20x.647,,,,,,,,,,,,,,,,brainvbody,,3988291,,,,,,,,,,,,,,,1.639,0.19796
231208.Brain13.20x.647,,,,,,,,,,,,,,,,brainvbody,,6961876,,,,,,,,,,,,,,,1.54,0.185255
231208.Brain16.20x.647,,,,,,,,,,,,,,,,brainvbody,,10921722,,,,,,,,,,,,,,,1.604,0.190998
231208.Brain17.20x.647,,,,,,,,,,,,,,,,brainvbody,,7026415,,,,,,,,,,,,,,,1.547,0.19602
231208.Brain18.20x.647,,,,,,,,,,,,,,,,brainvbody,,4553677,,,,,,,,,,,,,,,1.661,0.207648
231208.Brain23.20x.647,,,,,,,,,,,,,,,,brainvbody,,5501424,,,,,,,,,,,,,,,1.628,0.19845
231208.Brain24.20x.647,,,,,,,,,,,,,,,,brainvbody,,4321245,,,,,,,,,,,,,,,1.559,0.18912
231210.Brain25.20x.647,,,,,,,,,,,,,,,,brainvbody,,8144515,,,,,,,,,,,,,,,1.596,0.194927
231210.Brain26.20x.647,,,,,,,,,,,,,,,,brainvbody,,9232001,,,,,,,,,,,,,,,1.611,0.19649
231212.Brain29.20x.647,,,,,,,,,,,,,,,,brainvbody,,6250155,,,,,,,,,,,,,,,1.6,0.202292
231212.Brain31.20x.647,,,,,,,,,,,,,,,,brainvbody,,3689521,,,,,,,,,,,,,,,1.608,0.201552
231212.Brain32.20x.647,,,,,,,,,,,,,,,,brainvbody,,3381439,,,,,,,,,,,,,,,1.591,0.194636
231212.Brain33.20x.647,,,,,,,,,,,,,,,,brainvbody,,3670392,,,,,,,,,,,,,,,1.592,0.185107
231212.Brain34.20x.647,,,,,,,,,,,,,,,,brainvbody,,6292265,,,,,,,,,,,,,,,1.596,0.199104
231212.Brain35.20x.647,,,,,,,,,,,,,,,,brainvbody,,5335801,,,,,,,,,,,,,,,1.547,0.1919
